date,quantity
2013-01-02,5466.0
2013-01-03,3718.0
2013-01-04,4112.0
2013-01-05,6458.0
2013-01-06,7939.0
2013-01-07,4373.0
2013-01-08,3703.0
2013-01-09,4112.0
2013-01-10,3411.0
2013-01-11,4276.0
2013-01-12,5413.0
2013-01-13,7078.0
2013-01-14,3980.0
2013-01-15,3666.0
2013-01-16,4376.0
2013-01-17,2967.0
2013-01-18,3737.0
2013-01-19,6718.0
2013-01-20,7882.0
2013-01-21,4256.0
2013-01-22,3064.0
2013-01-23,3687.0
2013-01-24,2650.0
2013-01-25,3437.0
2013-01-26,6092.0
2013-01-27,6016.0
2013-01-28,2944.0
2013-01-29,2840.0
2013-01-30,3485.0
2013-01-31,2848.0
2013-02-01,4029.0
2013-02-02,7039.0
2013-02-03,6336.0
2013-02-04,3214.0
2013-02-05,2843.0
2013-02-06,3956.0
2013-02-07,3710.0
2013-02-08,3848.0
2013-02-09,4702.0
2013-02-10,3191.0
2013-02-11,3362.0
2013-02-12,4329.0
2013-02-13,3221.0
2013-02-14,2760.0
2013-02-15,3647.0
2013-02-16,7022.0
2013-02-17,4944.0
2013-02-18,3800.0
2013-02-19,2553.0
2013-02-20,3707.0
2013-02-21,2999.0
2013-02-22,3355.0
2013-02-23,5384.0
2013-02-24,6604.0
2013-02-25,3461.0
2013-02-26,3119.0
2013-02-27,2982.0
2013-02-28,3132.0
2013-03-01,3818.0
2013-03-02,6824.0
2013-03-03,8198.0
2013-03-04,4316.0
2013-03-05,7375.0
2013-03-06,4247.0
2013-03-07,3716.0
2013-03-08,3253.0
2013-03-09,6783.0
2013-03-10,6696.0
2013-03-11,3407.0
2013-03-12,3089.0
2013-03-13,3826.0
2013-03-14,2792.0
2013-03-15,3764.0
2013-03-16,6205.0
2013-03-17,6970.0
2013-03-18,3382.0
2013-03-19,3128.0
2013-03-20,3678.0
2013-03-21,2543.0
2013-03-22,3647.0
2013-03-23,5750.0
2013-03-24,5949.0
2013-03-25,3248.0
2013-03-26,2023.0
2013-03-27,3433.0
2013-03-28,3828.0
2013-03-29,4548.0
2013-03-30,5451.0
2013-03-31,5514.0
2013-04-01,4632.0
2013-04-02,3496.0
2013-04-03,4069.0
2013-04-04,2904.0
2013-04-05,3514.0
2013-04-06,7469.0
2013-04-07,7436.0
2013-04-08,4307.0
2013-04-09,3546.0
2013-04-10,3585.0
2013-04-11,2957.0
2013-04-12,3794.0
2013-04-13,6583.0
2013-04-14,6328.0
2013-04-15,3423.0
2013-04-16,3527.0
2013-04-17,4034.0
2013-04-18,3181.0
2013-04-19,3617.0
2013-04-20,6403.0
2013-04-21,6590.0
2013-04-22,3239.0
2013-04-23,3173.0
2013-04-24,4099.0
2013-04-25,2944.0
2013-04-26,3753.0
2013-04-27,6300.0
2013-04-28,6821.0
2013-04-29,3210.0
2013-04-30,3467.0
2013-05-01,5888.0
2013-05-02,3135.0
2013-05-03,3791.0
2013-05-04,6705.0
2013-05-05,6912.0
2013-05-06,3764.0
2013-05-07,2917.0
2013-05-08,3691.0
2013-05-09,2728.0
2013-05-10,3476.0
2013-05-11,7145.0
2013-05-12,4583.0
2013-05-13,3643.0
2013-05-14,3308.0
2013-05-15,3859.0
2013-05-16,3321.0
2013-05-17,3540.0
2013-05-18,6251.0
2013-05-19,6464.0
2013-05-20,3393.0
2013-05-21,3046.0
2013-05-22,3736.0
2013-05-23,3253.0
2013-05-24,4746.0
2013-05-25,4657.0
2013-05-26,4973.0
2013-05-27,3076.0
2013-05-28,3147.0
2013-05-29,3477.0
2013-05-30,2591.0
2013-05-31,4025.0
2013-06-01,6649.0
2013-06-02,6513.0
2013-06-03,4086.0
2013-06-04,3540.0
2013-06-05,3774.0
2013-06-06,2579.0
2013-06-07,4257.0
2013-06-08,6054.0
2013-06-09,6725.0
2013-06-10,3538.0
2013-06-11,1894.0
2013-06-12,3772.0
2013-06-13,3096.0
2013-06-14,3877.0
2013-06-15,6944.0
2013-06-16,5482.0
2013-06-17,3843.0
2013-06-18,3269.0
2013-06-19,3721.0
2013-06-20,2729.0
2013-06-21,3417.0
2013-06-22,5907.0
2013-06-23,6376.0
2013-06-24,3567.0
2013-06-25,3262.0
2013-06-26,3371.0
2013-06-27,2585.0
2013-06-28,3430.0
2013-06-29,5706.0
2013-06-30,5795.0
2013-07-01,3781.0
2013-07-02,3094.0
2013-07-03,3610.0
2013-07-04,3069.0
2013-07-05,3418.0
2013-07-06,5507.0
2013-07-07,5701.0
2013-07-08,3448.0
2013-07-09,2754.0
2013-07-10,3349.0
2013-07-11,2837.0
2013-07-12,3475.0
2013-07-13,5176.0
2013-07-14,5047.0
2013-07-15,3382.0
2013-07-16,3033.0
2013-07-17,3434.0
2013-07-18,2812.0
2013-07-19,3133.0
2013-07-20,5375.0
2013-07-21,5165.0
2013-07-22,3006.0
2013-07-23,2953.0
2013-07-24,3252.0
2013-07-25,3011.0
2013-07-26,3536.0
2013-07-27,5178.0
2013-07-28,5098.0
2013-07-29,3200.0
2013-07-30,3317.0
2013-07-31,3835.0
2013-08-01,3634.0
2013-08-02,3820.0
2013-08-03,5106.0
2013-08-04,5759.0
2013-08-05,3596.0
2013-08-06,2927.0
2013-08-07,4589.0
2013-08-08,2924.0
2013-08-09,3626.0
2013-08-10,4734.0
2013-08-11,4910.0
2013-08-12,3137.0
2013-08-13,3077.0
2013-08-14,3190.0
2013-08-15,2646.0
2013-08-16,3805.0
2013-08-17,5540.0
2013-08-18,5087.0
2013-08-19,3109.0
2013-08-20,2763.0
2013-08-21,3217.0
2013-08-22,3050.0
2013-08-23,3624.0
2013-08-24,4814.0
2013-08-25,5337.0
2013-08-26,3550.0
2013-08-27,3109.0
2013-08-28,3645.0
2013-08-29,3424.0
2013-08-30,3472.0
2013-08-31,6356.0
2013-09-01,7947.0
2013-09-02,4358.0
2013-09-03,3750.0
2013-09-04,4399.0
2013-09-05,2762.0
2013-09-06,3540.0
2013-09-07,6906.0
2013-09-08,7336.0
2013-09-09,3663.0
2013-09-10,2770.0
2013-09-11,3640.0
2013-09-12,3559.0
2013-09-13,3531.0
2013-09-14,6315.0
2013-09-15,6723.0
2013-09-16,3602.0
2013-09-17,3120.0
2013-09-18,3639.0
2013-09-19,2745.0
2013-09-20,3551.0
2013-09-21,6474.0
2013-09-22,6620.0
2013-09-23,3731.0
2013-09-24,2858.0
2013-09-25,3953.0
2013-09-26,2976.0
2013-09-27,3371.0
2013-09-28,5960.0
2013-09-29,7345.0
2013-09-30,3333.0
2013-10-01,3759.0
2013-10-02,4382.0
2013-10-03,3435.0
2013-10-04,4303.0
2013-10-05,6556.0
2013-10-06,7531.0
2013-10-07,4193.0
2013-10-08,3044.0
2013-10-09,3792.0
2013-10-10,3228.0
2013-10-11,1804.0
2013-10-12,5153.0
2013-10-13,5238.0
2013-10-14,3186.0
2013-10-15,2559.0
2013-10-16,3758.0
2013-10-17,3124.0
2013-10-18,3475.0
2013-10-19,6565.0
2013-10-20,6901.0
2013-10-21,3392.0
2013-10-22,2575.0
2013-10-23,3273.0
2013-10-24,2689.0
2013-10-25,3558.0
2013-10-26,5530.0
2013-10-27,5992.0
2013-10-28,2778.0
2013-10-29,2850.0
2013-10-30,3041.0
2013-10-31,2484.0
2013-11-01,3725.0
2013-11-02,6599.0
2013-11-03,6830.0
2013-11-04,3877.0
2013-11-05,3203.0
2013-11-06,3744.0
2013-11-07,3063.0
2013-11-08,3534.0
2013-11-09,6554.0
2013-11-10,6731.0
2013-11-11,4342.0
2013-11-12,3073.0
2013-11-13,3649.0
2013-11-14,2875.0
2013-11-15,3957.0
2013-11-16,6950.0
2013-11-17,7337.0
2013-11-18,3661.0
2013-11-19,3275.0
2013-11-20,3435.0
2013-11-21,2381.0
2013-11-22,3812.0
2013-11-23,5741.0
2013-11-24,6673.0
2013-11-25,3329.0
2013-11-26,3047.0
2013-11-27,3442.0
2013-11-28,2774.0
2013-11-29,3253.0
2013-11-30,6194.0
2013-12-01,8735.0
2013-12-02,4259.0
2013-12-03,3827.0
2013-12-04,3994.0
2013-12-05,3355.0
2013-12-06,5083.0
2013-12-07,6032.0
2013-12-08,6111.0
2013-12-09,3768.0
2013-12-10,3226.0
2013-12-11,4031.0
2013-12-12,3631.0
2013-12-13,4182.0
2013-12-14,6306.0
2013-12-15,7176.0
2013-12-16,4140.0
2013-12-17,3802.0
2013-12-18,4427.0
2013-12-19,3670.0
2013-12-20,4021.0
2013-12-21,5921.0
2013-12-22,6358.0
2013-12-23,4758.0
2013-12-24,3876.0
2013-12-26,3723.0
2013-12-27,4303.0
2013-12-28,4722.0
2013-12-29,4739.0
2013-12-30,6082.0
2013-12-31,4534.0
2014-01-02,9853.0
2014-01-03,8647.0
2014-01-04,15153.0
2014-01-05,15606.0
2014-01-06,7900.0
2014-01-07,7188.0
2014-01-08,8800.0
2014-01-09,6606.0
2014-01-10,7051.0
2014-01-11,12599.0
2014-01-12,13383.0
2014-01-13,7086.0
2014-01-14,5821.0
2014-01-15,6815.0
2014-01-16,7482.0
2014-01-17,7671.0
2014-01-18,13131.0
2014-01-19,13661.0
2014-01-20,7208.0
2014-01-21,6778.0
2014-01-22,7535.0
2014-01-23,5550.0
2014-01-24,6552.0
2014-01-25,11966.0
2014-01-26,12309.0
2014-01-27,6821.0
2014-01-28,5512.0
2014-01-29,6482.0
2014-01-30,5484.0
2014-01-31,7566.0
2014-02-01,7223.0
2014-02-02,6995.0
2014-02-03,4126.0
2014-02-04,3194.0
2014-02-05,3633.0
2014-02-06,3709.0
2014-02-07,3689.0
2014-02-08,6127.0
2014-02-09,5839.0
2014-02-10,3579.0
2014-02-11,3408.0
2014-02-12,3791.0
2014-02-13,3658.0
2014-02-14,3492.0
2014-02-15,7262.0
2014-02-16,6820.0
2014-02-17,4773.0
2014-02-18,4334.0
2014-02-19,4534.0
2014-02-20,3530.0
2014-02-21,3581.0
2014-02-22,7003.0
2014-02-23,5983.0
2014-02-24,4251.0
2014-02-25,3508.0
2014-02-26,3451.0
2014-02-27,3595.0
2014-02-28,4532.0
2014-03-01,12810.0
2014-03-02,9078.0
2014-03-03,9173.0
2014-03-04,12113.0
2014-03-05,7948.0
2014-03-06,8195.0
2014-03-07,7389.0
2014-03-08,11346.0
2014-03-09,14761.0
2014-03-10,7110.0
2014-03-11,7188.0
2014-03-12,7887.0
2014-03-13,6312.0
2014-03-14,6566.0
2014-03-15,11975.0
2014-03-16,18192.0
2014-03-17,8106.0
2014-03-18,7852.0
2014-03-19,7646.0
2014-03-20,6159.0
2014-03-21,7126.0
2014-03-22,12642.0
2014-03-23,14965.0
2014-03-24,7011.0
2014-03-25,6349.0
2014-03-26,7493.0
2014-03-27,5887.0
2014-03-28,7765.0
2014-03-29,13940.0
2014-03-30,15827.0
2014-03-31,8341.0
2014-04-01,5050.0
2014-04-02,5094.0
2014-04-03,3690.0
2014-04-04,4829.0
2014-04-05,8715.0
2014-04-06,9913.0
2014-04-07,5038.0
2014-04-08,4567.0
2014-04-09,4356.0
2014-04-10,4017.0
2014-04-11,4851.0
2014-04-12,7524.0
2014-04-13,8068.0
2014-04-14,4462.0
2014-04-15,4445.0
2014-04-16,5920.0
2014-04-17,4356.0
2014-04-18,5782.0
2014-04-19,6643.0
2014-04-20,7340.0
2014-04-21,4384.0
2014-04-22,4082.0
2014-04-23,4567.0
2014-04-24,3417.0
2014-04-25,4206.0
2014-04-26,6900.0
2014-04-27,7956.0
2014-04-28,4091.0
2014-04-29,3414.0
2014-04-30,4169.0
2014-05-01,6627.0
2014-05-02,4707.0
2014-05-03,7497.0
2014-05-04,8193.0
2014-05-05,4128.0
2014-05-06,3874.0
2014-05-07,4498.0
2014-05-08,3298.0
2014-05-09,4275.0
2014-05-10,7242.0
2014-05-11,5248.0
2014-05-12,3454.0
2014-05-13,3469.0
2014-05-14,3879.0
2014-05-15,3237.0
2014-05-16,3953.0
2014-05-17,6668.0
2014-05-18,7949.0
2014-05-19,3781.0
2014-05-20,2853.0
2014-05-21,3858.0
2014-05-22,3574.0
2014-05-23,3821.0
2014-05-24,6405.0
2014-05-25,7358.0
2014-05-26,3927.0
2014-05-27,3426.0
2014-05-28,4194.0
2014-05-29,3077.0
2014-05-30,4421.0
2014-05-31,6762.0
2014-06-01,9593.0
2014-06-02,5137.0
2014-06-03,4396.0
2014-06-04,4590.0
2014-06-05,3367.0
2014-06-06,4127.0
2014-06-07,6686.0
2014-06-08,6699.0
2014-06-09,4409.0
2014-06-10,3239.0
2014-06-11,4062.0
2014-06-12,3724.0
2014-06-13,4585.0
2014-06-14,8739.0
2014-06-15,4788.0
2014-06-16,4824.0
2014-06-17,3941.0
2014-06-18,4397.0
2014-06-19,3980.0
2014-06-20,3689.0
2014-06-21,7466.0
2014-06-22,7800.0
2014-06-23,4047.0
2014-06-24,3821.0
2014-06-25,3204.0
2014-06-26,4391.0
2014-06-27,4211.0
2014-06-28,6487.0
2014-06-29,6890.0
2014-06-30,4358.0
2014-07-01,8783.0
2014-07-02,10007.0
2014-07-03,7540.0
2014-07-04,7404.0
2014-07-05,11524.0
2014-07-06,14721.0
2014-07-07,7875.0
2014-07-08,6672.0
2014-07-09,7356.0
2014-07-10,6544.0
2014-07-11,8128.0
2014-07-12,12630.0
2014-07-13,10916.0
2014-07-14,8088.0
2014-07-15,6911.0
2014-07-16,9450.0
2014-07-17,6675.0
2014-07-18,7631.0
2014-07-19,11414.0
2014-07-20,12334.0
2014-07-21,7840.0
2014-07-22,7371.0
2014-07-23,9750.0
2014-07-24,6345.0
2014-07-25,7297.0
2014-07-26,10914.0
2014-07-27,12159.0
2014-07-28,7984.0
2014-07-29,6968.0
2014-07-30,7151.0
2014-07-31,7353.0
2014-08-01,4809.0
2014-08-02,7462.0
2014-08-03,6351.0
2014-08-04,4959.0
2014-08-05,4010.0
2014-08-06,4571.0
2014-08-07,4096.0
2014-08-08,4412.0
2014-08-09,6624.0
2014-08-10,6316.0
2014-08-11,4211.0
2014-08-12,4111.0
2014-08-13,4795.0
2014-08-14,4513.0
2014-08-15,4604.0
2014-08-16,7768.0
2014-08-17,8630.0
2014-08-18,4932.0
2014-08-19,4268.0
2014-08-20,4203.0
2014-08-21,4181.0
2014-08-22,4959.0
2014-08-23,7593.0
2014-08-24,7229.0
2014-08-25,4571.0
2014-08-26,4185.0
2014-08-27,4667.0
2014-08-28,4180.0
2014-08-29,5212.0
2014-08-30,8561.0
2014-08-31,9455.0
2014-09-01,12389.0
2014-09-02,9664.0
2014-09-03,11003.0
2014-09-04,7834.0
2014-09-05,8953.0
2014-09-06,16116.0
2014-09-07,18311.0
2014-09-08,9458.0
2014-09-09,7549.0
2014-09-10,9692.0
2014-09-11,6483.0
2014-09-12,9137.0
2014-09-13,15451.0
2014-09-14,16062.0
2014-09-15,9012.0
2014-09-16,8540.0
2014-09-17,9839.0
2014-09-18,6900.0
2014-09-19,7446.0
2014-09-20,14551.0
2014-09-21,16442.0
2014-09-22,8503.0
2014-09-23,7739.0
2014-09-24,9132.0
2014-09-25,7246.0
2014-09-26,7483.0
2014-09-27,14835.0
2014-09-28,16473.0
2014-09-29,8441.0
2014-09-30,7628.0
2014-10-01,11130.0
2014-10-02,8577.0
2014-10-03,9460.0
2014-10-04,17085.0
2014-10-05,18761.0
2014-10-06,7971.0
2014-10-07,7812.0
2014-10-08,8489.0
2014-10-09,6677.0
2014-10-10,11784.0
2014-10-11,12554.0
2014-10-12,13763.0
2014-10-13,9188.0
2014-10-14,6985.0
2014-10-15,8773.0
2014-10-16,7479.0
2014-10-17,8916.0
2014-10-18,14560.0
2014-10-19,16438.0
2014-10-20,8066.0
2014-10-21,7537.0
2014-10-22,8736.0
2014-10-23,6337.0
2014-10-24,6570.0
2014-10-25,11866.0
2014-10-26,14142.0
2014-10-27,6986.0
2014-10-28,6341.0
2014-10-29,6737.0
2014-10-30,5480.0
2014-10-31,6275.0
2014-11-01,11970.0
2014-11-02,10431.0
2014-11-03,13700.0
2014-11-04,8347.0
2014-11-05,7943.0
2014-11-06,7114.0
2014-11-07,7973.0
2014-11-08,13372.0
2014-11-09,14723.0
2014-11-10,7464.0
2014-11-11,7143.0
2014-11-12,8033.0
2014-11-13,5892.0
2014-11-14,6797.0
2014-11-15,12394.0
2014-11-16,14529.0
2014-11-17,7754.0
2014-11-18,6843.0
2014-11-19,7417.0
2014-11-20,6332.0
2014-11-21,8128.0
2014-11-22,11959.0
2014-11-23,14608.0
2014-11-24,7733.0
2014-11-25,6749.0
2014-11-26,7342.0
2014-11-27,6487.0
2014-11-28,6937.0
2014-11-29,13031.0
2014-11-30,16292.0
2014-12-01,10803.0
2014-12-02,8876.0
2014-12-03,8908.0
2014-12-04,7275.0
2014-12-05,8093.0
2014-12-06,12117.0
2014-12-07,15237.0
2014-12-08,9608.0
2014-12-09,7770.0
2014-12-10,7521.0
2014-12-11,6849.0
2014-12-12,7765.0
2014-12-13,13671.0
2014-12-14,14556.0
2014-12-15,9354.0
2014-12-16,11743.0
2014-12-17,8809.0
2014-12-18,7617.0
2014-12-19,7700.0
2014-12-20,11268.0
2014-12-21,12975.0
2014-12-22,9636.0
2014-12-23,9120.0
2014-12-24,7218.0
2014-12-26,10812.0
2014-12-27,9216.0
2014-12-28,10006.0
2014-12-29,8173.0
2014-12-30,9218.0
2014-12-31,7760.0
2015-01-02,6175.0
2015-01-03,6481.0
2015-01-04,8513.0
2015-01-05,5965.0
2015-01-06,4019.0
2015-01-07,5165.0
2015-01-08,4377.0
2015-01-09,4254.0
2015-01-10,7687.0
2015-01-11,9612.0
2015-01-12,4561.0
2015-01-13,3953.0
2015-01-14,4481.0
2015-01-15,3847.0
2015-01-16,4280.0
2015-01-17,8239.0
2015-01-18,8226.0
2015-01-19,4474.0
2015-01-20,4109.0
2015-01-21,4266.0
2015-01-22,4266.0
2015-01-23,4005.0
2015-01-24,7027.0
2015-01-25,7952.0
2015-01-26,3722.0
2015-01-27,3097.0
2015-01-28,3783.0
2015-01-29,3445.0
2015-01-30,3504.0
2015-01-31,7589.0
2015-02-01,8450.0
2015-02-02,4433.0
2015-02-03,4467.0
2015-02-04,4580.0
2015-02-05,3747.0
2015-02-06,4042.0
2015-02-07,6584.0
2015-02-08,6559.0
2015-02-09,3735.0
2015-02-10,3145.0
2015-02-11,3182.0
2015-02-12,3227.0
2015-02-13,4825.0
2015-02-14,5509.0
2015-02-15,4325.0
2015-02-16,4713.0
2015-02-17,5315.0
2015-02-18,4695.0
2015-02-19,3417.0
2015-02-20,4060.0
2015-02-21,6491.0
2015-02-22,8263.0
2015-02-23,4048.0
2015-02-24,4410.0
2015-02-25,3725.0
2015-02-26,3124.0
2015-02-27,4210.0
2015-02-28,7254.0
2015-03-01,9195.0
2015-03-02,4707.0
2015-03-03,4313.0
2015-03-04,4518.0
2015-03-05,4173.0
2015-03-06,4438.0
2015-03-07,8235.0
2015-03-08,8386.0
2015-03-09,5340.0
2015-03-10,4924.0
2015-03-11,4259.0
2015-03-12,3651.0
2015-03-13,4935.0
2015-03-14,7264.0
2015-03-15,8525.0
2015-03-16,4400.0
2015-03-17,3609.0
2015-03-18,4083.0
2015-03-19,2902.0
2015-03-20,3696.0
2015-03-21,8053.0
2015-03-22,7927.0
2015-03-23,3951.0
2015-03-24,3604.0
2015-03-25,3902.0
2015-03-26,3192.0
2015-03-27,4538.0
2015-03-28,7253.0
2015-03-29,7029.0
2015-03-30,3537.0
2015-03-31,3989.0
2015-04-01,4573.0
2015-04-02,4619.0
2015-04-03,5575.0
2015-04-04,6736.0
2015-04-05,7208.0
2015-04-06,4208.0
2015-04-07,8856.0
2015-04-08,4402.0
2015-04-09,3628.0
2015-04-10,4456.0
2015-04-11,7594.0
2015-04-12,8207.0
2015-04-13,4226.0
2015-04-14,3409.0
2015-04-15,4255.0
2015-04-16,3300.0
2015-04-17,4616.0
2015-04-18,7617.0
2015-04-19,8182.0
2015-04-20,4297.0
2015-04-21,4447.0
2015-04-22,4173.0
2015-04-23,4080.0
2015-04-24,4993.0
2015-04-25,8110.0
